0_T3,rum
0_T7,Tia Maria
0_T8,triple sec
0_T11,orange juice
1_T3,maple syrup
1_T6,vanilla
1_T8,cinnamon
1_T10,milk
1_T13,eggs
1_T17,butter
1_T21,with icing cinnamon roll
2_T1,coconuts
2_T6,evaporated milk
2_T7,gin
2_T11,sugar
2_T13,cinnamon
2_T20,nutmeg
3_T2,graham cracker
3_T6,milk chocolate candy bars
3_T8,marshmallows
3_T11,blueberries
3_T14,strawberry slices
4_T1,sesame seeds
4_T6,swiss cheese
4_T10,cheddar cheese
4_T15,deli ham
4_T20,crescent rolls
4_T22,mustard
5_T7,onion
5_T11,curry powder
5_T18,chicken
5_T24,TACO BELL® Thick & Chunky Salsa
5_T15,Sour Cream
5_T27,Sour Cream
6_T6,butter
6_T9,garlic salt
6_T12,seasoning salt
6_T15,pepper
6_T16,sour cream
6_T18,chives
6_T19,baking potatoes
7_T4,sugar
7_T6,carrots
7_T8,carrots
7_T9,canning salt
7_T10,sugar
7_T12,water
7_T13,orange juice
8_T1,egg
8_T8,cream
8_T11,vanilla extract
8_T14,chocolate chips
8_T2,heavy cream
9_T6,lime
9_T7,kosher salt
9_T10,grapefruit juice
9_T15,lime juice
9_T16,orange liqueur
9_T20,tequila
9_T22,ice
9_T25,limes
10_T1,pepper
10_T2,salt
10_T4,olive oil
10_T7,vinega
10_T11,onion
10_T17,tomatoes
10_T20,avocados
11_T1,cream
11_T3,coffee
11_T7,tequila
11_T10,Kahlua
12_T1,baking powder
12_T4,5 eggs
12_T10,sugar
12_T15,eggs
12_T7,all purpose flour
13_T1,olive oil
13_T5,lemon juice
13_T8,salt
13_T12,cumin
13_T16,garlic
13_T20,pepper
13_T29,garbanzo beans
14_T1,water
14_T4,lemon juice
14_T7,basil pesto
14_T10,cumin
14_T14,garlic
14_T17,salt
14_T22,garbanzo beans
15_T6,cheddar cheese
15_T13,horseradish mustard
15_T14,hot dogs
15_T16,beans
15_T20,mustard yellow
15_T5,potato
15_T21,tater tots
16_T1,salmon steaks
16_T5,olive oil
16_T8,lemon juice
16_T11,spring onion
16_T14,limoncello
16_T18,oregano
16_T20,parsley
17_T1,milk
17_T4,butter
17_T8,cheese
17_T12,salt
17_T15,baking powder
17_T18,flour
18_T1,himalayan sea salt
18_T6,jalapeño
18_T9,coconut water
18_T14,cucumber
18_T19,celery
19_T2,lemon
19_T6,chickpeas
19_T10,olive oil
19_T14,garlic
19_T19,pepper flakes
20_T1,bagel
20_T3,egg
20_T5,cheddar cheese
20_T11,deli ham
20_T15,deli roast beef
20_T16,any lunch meat
21_T1,baking soda
21_T4,flour
21_T10,vanilla
21_T11,vinegar
21_T16,butter
21_T18,sugar
22_T3,apple cider vinegar
22_T7,dr pepper
22_T8,Coke
22_T13,sugar
22_T15,mustard
22_T22,ham
22_T10,cloves
23_T1,marshmallows
23_T4,Kahlua
23_T7,vanilla vodka
23_T10,creme de cacao
23_T14,chocolate
24_T1,saffron
24_T4,water
24_T10,greek yogurt
24_T14,sugar
24_T15,cardamom
24_T20,cream
24_T23,nut
25_T1,oatmeal
25_T16,blueberry
25_T17,almond
25_T18,chia seed
25_T19,vanilla bean
25_T20,sugar
25_T21,water
25_T22,milk
